code;url;product_name;generic_name;quantity;packaging;brands;categories;pnns_groups_1;pnns_groups_2;main_category;image_url;image_small_url
9014202223212;https://world.openfoodfacts.org/product/9014202223212;Peanutbutter Crunchy;;350 g;♳;Nick;Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Legumes and their products, Brotaufstriche, Pflanzliche Brotaufstriche, Nuts and their products, Oilseed purees, Nut butters, Legume butters, Erdnussbutter;Cereals and potatoes;Legumes;en:peanut-butters;https://static.openfoodfacts.org/images/products/901/420/222/3212/front_de.8.400.jpg;https://static.openfoodfacts.org/images/products/901/420/222/3212/front_de.8.200.jpg
8712738379526;https://world.openfoodfacts.org/product/8712738379526;Dadels;;250 g;♳;Tovano;Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frucht- und gemüsebasierte Lebensmittel, Fruchtbasierte Lebensmittel, Getrocknete Produkte, Getrocknete Produkte auf pflanzlicher Basis, Dörrobst, Datteln, Entkernte Datteln;Fruits and vegetables;Dried fruits;en:pitted-dates;https://static.openfoodfacts.org/images/products/871/273/837/9526/front_de.6.400.jpg;https://static.openfoodfacts.org/images/products/871/273/837/9526/front_de.6.200.jpg
4260209940712;https://world.openfoodfacts.org/product/4260209940712;MolkeFIT-ACE;;0,5 l;Flasche,♳;Große Kintrup;Molkedrink;unknown;unknown;de:molkedrink;https://static.openfoodfacts.org/images/products/426/020/994/0712/front_de.8.400.jpg;https://static.openfoodfacts.org/images/products/426/020/994/0712/front_de.8.200.jpg
4260209940019;https://world.openfoodfacts.org/product/4260209940019;frische fettarme Milch;;1 l;Flasche,♳;Große Kintrup;Milchprodukte, Milch, Teilentrahmte Milch, Traditionell hergestellte Frischmilch, Frischmilch;Milk and dairy products;Milk and yogurt;de:traditionell-hergestellte-frischmilch;https://static.openfoodfacts.org/images/products/426/020/994/0019/front_de.7.400.jpg;https://static.openfoodfacts.org/images/products/426/020/994/0019/front_de.7.200.jpg
4250430117014;https://world.openfoodfacts.org/product/4250430117014;Deutsche Himbeeren Klasse I;;125 g;♳;Gute Ernte;Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Frucht- und gemüsebasierte Lebensmittel, Fruchtbasierte Lebensmittel, Früchte, Berries, Himbeeren;Fruits and vegetables;Fruits;en:raspberries;https://static.openfoodfacts.org/images/products/425/043/011/7014/front_de.4.400.jpg;https://static.openfoodfacts.org/images/products/425/043/011/7014/front_de.4.200.jpg
4260209940729;https://world.openfoodfacts.org/product/4260209940729;frischer Eiskaffee;;0,5 l;Flasche,♳;Große Kintrup;Getränke, Kaffeegetränke, Eiskaffees, Gezuckerte Getränke, Ungezuckerte Getränke;Beverages;Sweetened beverages;en:iced-coffees;https://static.openfoodfacts.org/images/products/426/020/994/0729/front_de.8.400.jpg;https://static.openfoodfacts.org/images/products/426/020/994/0729/front_de.8.200.jpg
4260209940002;https://world.openfoodfacts.org/product/4260209940002;frische Vollmilch;;1 l;Flasche,♳;Große Kintrup;Milchprodukte, Milch, Traditionell hergestellte Frischmilch, Frischmilch, Vollmilch;Milk and dairy products;Milk and yogurt;de:traditionell-hergestellte-frischmilch;https://static.openfoodfacts.org/images/products/426/020/994/0002/front_de.5.400.jpg;https://static.openfoodfacts.org/images/products/426/020/994/0002/front_de.5.200.jpg
4311501424964;https://world.openfoodfacts.org/product/4311501424964;Cookies Vanille;;500 ml ℮;♷;EDEKA;Desserts, Tiefkühlprodukte, Tiefkühl-Desserts, Speiseeis und Sorbets, Speiseeis;Milk and dairy products;Ice cream;en:ice-creams;https://static.openfoodfacts.org/images/products/431/150/142/4964/front_de.6.400.jpg;https://static.openfoodfacts.org/images/products/431/150/142/4964/front_de.6.200.jpg
4311596483266;https://world.openfoodfacts.org/product/4311596483266;Paprika Chips;;200 g ℮;♷;Gut & Günstig;Snacks;unknown;unknown;en:snacks;https://static.openfoodfacts.org/images/products/431/159/648/3266/front_de.7.400.jpg;https://static.openfoodfacts.org/images/products/431/159/648/3266/front_de.7.200.jpg
4260376840020;https://world.openfoodfacts.org/product/4260376840020;Vanille 100% Natural Frozen Yogurt;Bio-Joghurteis;500 ml;Pappe;Lycka;Desserts, Tiefkühlprodukte, Tiefkühl-Desserts, Frozen yogurts;unknown;unknown;en:frozen-yogurts;https://static.openfoodfacts.org/images/products/426/037/684/0020/front_de.7.400.jpg;https://static.openfoodfacts.org/images/products/426/037/684/0020/front_de.7.200.jpg
